scenario,pv_kwp,battery_kwh,capex_per_kwh,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
base,12.0,30.0,400.0,1094.2908561056684,236.20976094397454,12400.0,1904.072023931703,0.0193700591508786,12.723032419645888,15.0
east-west,0.0,2.5,100.0,93.2490135632072,276.87753156588894,650.0,568.9086646630078,0.09705409668239547,7.4341074752119,15.0
east-west,0.0,2.5,150.0,93.2490135632072,276.87753156588894,775.0,443.9086646630078,0.06648062309825939,8.998199241937595,15.0
east-west,0.0,2.5,200.0,93.2490135632072,276.87753156588894,900.0,318.90866466300787,0.04279754700276493,10.618325526551207,15.0
east-west,0.0,2.5,250.0,93.2490135632072,276.87753156588894,1025.0,193.90866466300793,0.02366713557009683,12.290435469348774,15.0
east-west,0.0,2.5,300.0,93.2490135632072,276.87753156588894,1150.0,68.90866466300793,0.007735574931421015,14.019461776492717,15.0
east-west,0.0,2.5,350.0,93.2490135632072,276.87753156588894,1275.0,-56.09133533699213,-0.005842539771510985,Inf,15.0
east-west,0.0,2.5,400.0,93.2490135632072,276.87753156588894,1400.0,-181.09133533699222,-0.017626326805879042,Inf,15.0
east-west,0.0,5.0,100.0,155.2167416940349,237.79786074648064,900.0,1128.9226032764045,0.13285268391537547,6.102120467373126,15.0
east-west,0.0,5.0,150.0,155.2167416940349,237.79786074648064,1150.0,878.9226032764045,0.08608654730850498,7.93911678024506,15.0
east-west,0.0,5.0,200.0,155.2167416940349,237.79786074648064,1400.0,628.9226032764043,0.0532833235708676,9.848018705967746,15.0
east-west,0.0,5.0,250.0,155.2167416940349,237.79786074648064,1650.0,378.92260327640446,0.02847021217880178,11.832818806514075,15.0
east-west,0.0,5.0,300.0,155.2167416940349,237.79786074648064,1900.0,128.9226032764043,0.008741886373818434,13.899930953367353,15.0
east-west,0.0,5.0,350.0,155.2167416940349,237.79786074648064,2150.0,-121.07739672359561,-0.007505675997357511,Inf,15.0
east-west,0.0,5.0,400.0,155.2167416940349,237.79786074648064,2400.0,-371.07739672359537,-0.021240587271561313,Inf,15.0
east-west,0.0,10.0,100.0,232.66173351250882,186.24479975152607,1400.0,1641.248288612554,0.1252941204493072,6.3493156459801,15.0
east-west,0.0,10.0,150.0,232.66173351250882,186.24479975152607,1900.0,1141.2482886125538,0.06939407249159213,8.828095921904778,15.0
east-west,0.0,10.0,200.0,232.66173351250882,186.24479975152607,2400.0,641.2482886125538,0.03285496314581558,11.439563778398727,15.0
east-west,0.0,10.0,250.0,232.66173351250882,186.24479975152607,2900.0,141.24828861255315,0.006306195332659799,14.194448751215235,15.0
east-west,0.0,10.0,300.0,232.66173351250882,186.24479975152607,3400.0,-358.7517113874471,-0.014271784446191357,Inf,15.0
east-west,0.0,10.0,350.0,232.66173351250882,186.24479975152607,3900.0,-858.7517113874469,-0.030929261508437146,Inf,15.0
east-west,0.0,10.0,400.0,232.66173351250882,186.24479975152607,4400.0,-1358.7517113874474,-0.044838569860184016,Inf,15.0
east-west,0.0,15.0,100.0,281.01329958943484,154.79587753199834,1900.0,1773.2779540120946,0.10269352442671327,7.192970354904172,15.0
east-west,0.0,15.0,150.0,281.01329958943484,154.79587753199834,2650.0,1023.2779540120943,0.04634868146233877,10.347336246536983,15.0
east-west,0.0,15.0,200.0,281.01329958943484,154.79587753199834,3400.0,273.2779540120939,0.010322133441582023,13.715442041482547,15.0
east-west,0.0,15.0,250.0,281.01329958943484,154.79587753199834,4150.0,-476.7220459879064,-0.015582514222991846,Inf,15.0
east-west,0.0,15.0,300.0,281.01329958943484,154.79587753199834,4900.0,-1226.7220459879052,-0.0355491125492964,Inf,15.0
east-west,0.0,15.0,350.0,281.01329958943484,154.79587753199834,5650.0,-1976.7220459879056,-0.051659454700013395,Inf,15.0
east-west,0.0,15.0,400.0,281.01329958943484,154.79587753199834,6400.0,-2726.722045987906,-0.06508563650213098,Inf,15.0
east-west,0.0,20.0,100.0,325.22031744935146,137.489587258602,2400.0,1851.1319714365275,0.0867887044067265,7.905271620892853,15.0
